V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Al/Si,Al/Si_uncer,polygon_area
82.993,77.2447,78.0863,82.3164,179.999,-178.12,-179.98,-175.293,0.0,-1.0,905.9171267000012
-86.5748,-89.7121,-89.7795,-86.3018,173.754,-55.7495,-165.674,63.0484,0.0,-1.0,388.419839135001
89.7219,84.9308,84.4186,89.4603,75.2844,60.4723,69.2707,171.092,0.0,-1.0,279.70520043000045
89.281,83.6267,83.6131,89.1666,26.5052,20.13,35.1089,71.1084,0.0,-1.0,168.3020554950001
89.4982,83.4696,83.9811,88.8095,-14.5956,-36.3881,-15.2002,11.5647,0.0,-1.0,130.66594467
89.2117,83.2154,83.7121,88.5889,-35.8877,-53.7116,-36.4178,-15.1906,0.0,-1.0,104.50079962499974
88.3734,82.6956,82.3791,87.9694,0.8009,-8.5684,4.9025,19.6253,0.0,-1.0,95.31625699500013
87.9727,84.3235,84.9834,87.9789,175.601,-176.32,-163.522,176.026,0.0,-1.0,93.18115819999997
89.7757,87.1825,86.8639,89.3489,161.366,-175.518,-148.227,112.026,0.0,-1.0,83.28417200000052
-84.2512,-89.1647,-89.3804,-83.8509,-86.6059,-111.293,-103.46,-62.7985,0.0,-1.0,79.58933640999999
87.5016,82.1143,81.7826,86.77,-102.145,-128.874,-121.625,-86.2859,0.0,-1.0,76.43415394999991
87.5069,82.3043,81.9335,86.686,-83.0273,-115.907,-108.652,-69.4336,0.0,-1.0,73.36754978500002
87.7273,82.171,81.6676,87.1257,-149.147,-158.217,-148.633,-136.085,0.0,-1.0,68.32999810000004
87.7439,82.2581,82.7534,88.2042,-60.2691,-57.4397,-52.6716,-41.1815,0.0,-1.0,63.156020925
-81.3523,-87.0172,-87.0958,-81.3799,-166.772,-175.588,-160.995,-160.264,0.0,-1.0,60.29003804999988
-81.1829,-86.6125,-87.2866,-81.773,163.762,151.857,162.562,172.155,0.0,-1.0,59.04275130000007
-83.6247,-89.2313,-88.6652,-83.2957,-144.48,-141.41,-134.62,-129.863,0.0,-1.0,58.36383474999995
-83.426,-88.3684,-88.8817,-83.0417,-100.34,-115.071,-109.087,-85.5401,0.0,-1.0,57.25954311499996
86.1376,80.6101,80.8726,86.5533,159.228,148.798,160.38,166.668,0.0,-1.0,50.46605819999997
86.1408,80.5544,80.7916,86.4889,149.126,139.34,150.516,156.133,0.0,-1.0,49.039035299999945
-82.5287,-88.1777,-87.486,-81.949,23.881,9.6055,15.4763,39.0283,0.0,-1.0,46.75364577500004
-80.3197,-85.8439,-86.4413,-80.9359,115.382,106.65,111.67,124.814,0.0,-1.0,46.48712319999996
-79.9601,-85.4619,-86.1226,-80.6085,99.3717,90.5873,95.4181,108.263,0.0,-1.0,44.869049505000085
-80.5245,-86.8468,-86.6371,-80.9424,58.5328,56.8326,60.8508,69.0844,0.0,-1.0,44.28837594
87.4709,82.5925,82.0606,88.1134,-135.942,-144.934,-138.239,-126.677,0.0,-1.0,43.04716990000004
-82.2556,-87.815,-87.2901,-81.8862,-125.89,-124.517,-119.248,-115.581,0.0,-1.0,42.18369079999993
-81.5432,-87.666,-86.9668,-82.159,153.868,144.99,153.029,161.043,0.0,-1.0,41.222338900000054
-82.1838,-87.8103,-87.4229,-81.8751,-150.767,-148.902,-142.975,-142.811,0.0,-1.0,39.07921824999991
-80.1314,-85.598,-86.1817,-80.6992,90.1318,81.5187,85.5577,97.9459,0.0,-1.0,38.49094354000006
-81.2421,-86.8953,-86.5403,-80.9491,9.39,9.8575,16.4999,15.9092,0.0,-1.0,37.17000216000004
-82.5276,-88.0772,-87.6355,-82.1473,-33.1944,-33.0985,-25.1623,-27.9318,0.0,-1.0,37.01026836
-76.0192,-81.7967,-81.9809,-76.2499,168.651,161.733,169.51,173.27,0.0,-1.0,36.772417050000016
-81.0748,-86.5882,-86.028,-80.546,-62.1916,-63.5045,-54.5819,-58.1903,0.0,-1.0,36.15081239000001
-76.5257,-82.2754,-82.4331,-76.7104,174.437,167.674,175.361,178.881,0.0,-1.0,35.673145899999895
-78.0297,-84.0638,-83.8271,-77.5002,8.0979,3.777,8.1748,15.9225,0.0,-1.0,35.45853126999998
87.242,82.3619,81.8032,87.8344,-128.25,-133.949,-129.307,-120.009,0.0,-1.0,35.016219750000076
-80.9839,-86.6174,-86.284,-80.6878,-156.866,-156.824,-150.173,-151.364,0.0,-1.0,34.312679400000086
80.1262,74.3956,74.1344,79.8821,68.0474,63.6947,67.9968,74.891,0.0,-1.0,33.404186720000006
-78.106,-83.5619,-84.1994,-78.6937,-36.5431,-41.9663,-36.5374,-31.2196,0.0,-1.0,32.755845260000015
-78.4197,-83.8943,-84.4641,-78.9434,-5.4318,-10.5578,-5.1847,-0.0848,0.0,-1.0,32.263184294999974
-79.7478,-84.6214,-85.3226,-79.1684,75.077,68.5084,73.1329,81.5884,0.0,-1.0,31.158603350000003
-77.409,-82.8753,-83.5379,-78.0393,137.995,132.885,138.02,143.004,0.0,-1.0,31.06961954999995
-78.2282,-83.9291,-83.8923,-78.2094,16.2064,15.6723,20.3995,22.1224,0.0,-1.0,30.258642740000024
78.9361,73.1642,72.9647,78.7968,37.2572,34.7831,38.7708,43.4017,0.0,-1.0,29.99530570000003
