V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Mg/Si,Mg/Si_uncer,polygon_area
-86.9424,-89.7335,-89.7589,-86.6687,175.176,-57.7993,-161.223,67.6156,0.0,-1.0,338.8822946750014
-84.3064,-89.0138,-89.3536,-83.8184,-96.0541,-173.883,-103.822,-87.9305,0.0,-1.0,196.7310551700002
89.281,83.6267,83.6131,89.1666,26.5052,20.13,35.1089,71.1084,0.0,-1.0,168.3020554950001
89.4364,83.4005,83.9138,88.7371,-12.6568,-32.9666,-12.5913,13.2485,0.0,-1.0,127.78852928000026
88.5298,83.0144,83.5591,88.8052,-66.5983,-69.6928,-63.2335,-27.1263,0.0,-1.0,115.53509269499988
89.3445,83.3528,83.8491,88.7276,-33.829,-53.998,-35.2217,-12.3268,0.5979535512151416,7.16796502579426e-05,110.75721425999978
87.9727,84.3235,84.9834,87.9789,175.601,-176.32,-163.522,176.026,0.0,-1.0,93.18115819999997
-85.496,-88.8219,-88.8133,-85.9865,-4.6473,-117.031,-93.0169,8.3593,0.0,-1.0,82.6970391750005
-84.9061,-89.6752,-89.5504,-85.4158,172.567,-165.029,-138.657,149.455,0.1975540753250056,0.0056979754199367,67.46526780000018
87.1086,81.5447,81.0451,86.5337,-154.487,-162.361,-153.478,-143.952,0.0,-1.0,58.328436249999854
-81.047,-86.487,-87.1426,-81.6272,167.163,156.162,166.537,175.45,0.0,-1.0,57.264848999999984
87.6141,82.488,81.9645,88.0192,-138.104,-149.137,-140.852,-126.659,0.0,-1.0,55.89598559999993
87.8725,82.4024,81.8989,87.414,109.221,92.3458,104.619,114.677,0.0,-1.0,55.167136560000074
87.1437,81.6391,81.0934,86.7021,79.78,64.0275,75.6629,85.6587,0.0,-1.0,55.015186029999875
87.0907,81.5863,81.0604,86.6188,91.1069,75.7968,86.981,96.8437,0.0,-1.0,53.07776465999995
87.6573,82.1618,81.6342,87.1252,121.275,107.568,118.397,127.506,0.0,-1.0,52.90195129999999
