V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Na/Si,Na/Si_uncer,polygon_area
-83.6939,-89.3256,-89.2483,-83.6851,-27.5116,-62.2533,-17.4979,-7.7996,0.0,-1.0,179.469953065
-82.9812,-88.519,-88.7831,-83.032,-56.766,-84.7202,-49.068,-48.1096,0.0,-1.0,127.32498307000012
88.8897,83.3524,83.726,88.8345,-64.8791,-77.5648,-71.0635,-22.2689,0.0,-1.0,125.81396979500013
-83.8877,-89.4746,-89.2312,-84.3964,82.6984,61.4692,71.7076,115.344,0.0,-1.0,116.03325662000015
88.9621,83.3159,83.2368,88.5318,-97.8283,-113.652,-107.296,-68.5518,0.0,-1.0,104.41479931500005
-84.0162,-89.2016,-89.4673,-83.8858,-85.3076,-97.1888,-87.0326,-61.2088,1.6093583089618024,0.0005300433331854,93.48041149999995
-82.1081,-87.5355,-88.2793,-82.7198,-151.662,-167.096,-151.144,-137.544,1.2696009384971434,0.0008670172051014,92.43291750000017
89.1024,83.9428,83.4023,88.8721,60.8542,24.6871,46.6796,67.4059,0.0,-1.0,86.81528805000015
89.8629,87.0298,86.9016,89.6839,96.2447,-51.9464,-37.0185,123.093,0.0,-1.0,82.32515804999956
-86.8426,-89.8371,-89.8788,-87.0692,163.516,-89.7158,-72.7724,179.255,0.0,-1.0,81.31324029999779
-81.6466,-87.12,-87.8357,-82.2696,34.9986,22.203,35.1318,47.7129,0.0,-1.0,79.26469768499993
-82.5354,-88.1405,-88.3815,-82.997,110.533,96.6279,104.717,128.733,0.0,-1.0,78.88751455500012
88.3571,82.7397,82.7601,88.449,131.782,125.276,138.76,144.345,0.0,-1.0,73.28434420000002
-81.0478,-86.792,-86.7956,-81.0491,145.556,139.845,152.305,154.653,0.0,-1.0,61.93612724999997
-81.3866,-87.1405,-87.0592,-81.3591,133.055,130.126,140.201,144.273,0.0,-1.0,60.782078299999974
87.3976,81.7031,81.6831,87.335,-45.2131,-46.4321,-39.7059,-30.8597,1.6212868881900635,0.0026659484614269,60.00223973999996
-81.6339,-87.6964,-87.0878,-82.0312,-90.7779,-105.783,-88.9482,-85.6901,0.0,-1.0,59.97514187500005
87.8095,82.2568,82.3145,88.0215,115.786,107.54,121.522,122.882,0.0,-1.0,58.68530460000006
-80.9311,-86.6683,-86.6709,-80.9318,159.774,154.549,166.244,168.474,0.0,-1.0,58.52093499999998
-81.3021,-87.0663,-86.846,-81.2245,65.7795,64.5487,72.0871,78.2753,0.0,-1.0,56.47331771000007
87.3111,81.6322,81.6333,87.3148,-21.9779,-24.7348,-16.2367,-10.8157,0.0,-1.0,55.82740454999997
87.3585,81.83,82.2993,87.8263,-133.131,-129.329,-124.523,-117.499,0.0,-1.0,55.73324320000009
87.3859,81.8662,81.2671,86.6994,171.515,161.589,171.535,179.554,0.0,-1.0,55.0104530000001
87.4683,81.9401,82.0139,87.7121,105.952,97.5063,110.257,112.789,0.0,-1.0,54.103209439999986
88.7468,83.359,83.8706,89.4138,-154.246,-148.746,-143.11,-141.482,0.0,-1.0,51.4234848
-80.134,-85.69,-86.293,-80.7165,54.2507,47.0461,53.1691,63.592,0.0,-1.0,48.263430250000035
-81.7195,-87.1562,-86.5376,-81.0763,-106.034,-113.013,-99.438,-101.308,0.0,-1.0,48.249440449999994
86.738,80.7434,81.5481,87.425,-26.9885,-44.345,-30.6903,-21.4578,0.0,-1.0,47.024166199999925
-80.0584,-85.5337,-86.1855,-80.6465,-166.316,-174.043,-166.689,-158.438,0.0,-1.0,46.895234950000074
89.858,86.4525,87.033,89.7932,155.4,-15.3369,-2.3398,139.236,0.0,-1.0,45.14645367999966
86.3843,81.0455,80.6331,87.0257,29.3489,12.0355,23.1511,33.9281,0.0,-1.0,44.42231877999998
-83.0796,-89.2412,-88.4638,-83.7165,20.3724,11.5994,19.9778,28.306,1.6480497843966395,0.0073530014665507,43.88581455000006
86.5236,80.9842,81.4283,86.9622,-121.441,-119.235,-114.996,-109.663,0.0,-1.0,43.65021080000005
86.644,81.058,81.1193,86.8081,54.331,48.4099,58.2335,60.0801,0.0,-1.0,43.45705959500003
86.4681,80.3741,80.9567,85.8229,-167.917,-176.437,-168.644,-160.549,0.0,-1.0,41.80192280000007
-78.5887,-84.34,-84.3547,-78.596,-39.6307,-42.5135,-34.5388,-33.5546,0.0,-1.0,40.45244549999994
-78.3427,-84.0385,-84.1537,-78.4008,-120.785,-126.482,-117.446,-116.205,0.0,-1.0,39.271963650000025
-80.8039,-86.2672,-85.6272,-80.1638,-114.314,-117.725,-107.719,-110.144,0.0,-1.0,38.40868015
88.3623,82.993,83.5998,89.1201,-7.7311,-1.6099,4.1829,-0.8136,0.0,-1.0,38.39532407499999
-78.7456,-84.3383,-84.8563,-79.2709,87.4876,81.508,86.2759,94.971,0.0,-1.0,38.06409276000006
-78.1985,-83.9076,-83.9887,-78.2402,-60.1062,-64.6616,-56.0374,-55.6588,0.0,-1.0,37.59376484000003
85.8181,79.7402,80.3016,85.1841,-161.716,-168.302,-161.714,-154.728,0.0,-1.0,37.44592940000003
-79.3165,-84.9119,-85.056,-79.3843,80.7367,72.7546,81.4081,84.8591,1.1984070918423018,5.836675810344791e-05,36.592504194999975
-78.048,-83.7432,-83.8456,-78.1013,-67.343,-72.4351,-64.0954,-62.9804,0.0,-1.0,36.56860158000005
-77.9846,-83.6684,-83.7871,-78.0467,-76.6035,-82.1367,-73.9267,-72.2784,0.0,-1.0,36.12547615499998
87.8646,83.498,84.1636,87.7301,49.6091,-17.2798,0.5921,58.1321,0.0,-1.0,35.82729810000007
-77.8859,-83.3627,-84.0733,-78.5365,23.3268,17.0315,23.1631,28.6955,0.0,-1.0,35.68989232999998
-80.0414,-86.1839,-85.4892,-80.6708,-2.3062,-8.8934,-2.3425,4.2082,0.0,-1.0,35.587385475000005
-78.1747,-83.7725,-84.2956,-78.6988,94.4347,89.0058,93.5637,101.354,0.0,-1.0,35.58145233999995
86.6779,80.673,81.2428,86.1251,87.2539,73.9909,82.418,91.8374,0.0,-1.0,35.31585087999996
-77.6903,-83.3879,-83.4854,-77.7422,109.31,104.578,112.308,113.435,0.0,-1.0,34.126504650000044
88.1793,82.4826,82.4728,88.1386,178.445,-179.117,-171.63,179.729,0.8933957819246906,0.0006501896642505,33.86524950000001
-79.1102,-84.5565,-85.2281,-79.7161,175.6,168.903,175.561,179.95,0.0,-1.0,33.697832849999976
-77.6926,-83.2958,-83.8192,-78.2122,102.534,97.5627,101.952,109.032,0.0,-1.0,33.65457908999993
81.3265,75.5709,75.3992,81.2001,-158.693,-161.302,-157.046,-151.546,1.9032642462127671,0.000280997758318,33.549015600000075
-76.8529,-82.3664,-83.0543,-77.4934,34.2902,29.3472,34.5877,39.5965,0.0,-1.0,32.50486325999996
-77.1483,-82.6377,-83.3083,-77.7595,-152.623,-157.636,-152.357,-147.446,0.0,-1.0,32.03400059999995
-79.7492,-85.8974,-85.2014,-80.3816,3.9044,-2.2093,3.6953,9.5897,0.0,-1.0,31.58857701000003
83.5022,77.9956,77.3525,82.8195,-11.2231,-16.2036,-11.4174,-5.9439,0.0,-1.0,31.07839665999998
-76.397,-82.1599,-82.1492,-76.3908,141.608,140.386,145.956,146.819,0.0,-1.0,31.043974699999882
85.9428,79.9148,80.4917,85.3725,79.2073,68.2161,75.3882,83.407,0.0,-1.0,30.981806460000058
-76.5016,-82.2734,-82.186,-76.4508,64.2175,63.8626,68.5118,70.3244,0.0,-1.0,30.86772354999999
84.4694,78.9073,79.3427,84.8948,-92.1663,-91.5499,-87.8797,-84.5336,0.0,-1.0,30.81824135499998
