V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Al/Si,Al/Si_uncer,polygon_area
-85.5959,-89.6303,-89.657,-85.7319,168.367,-82.0202,-127.966,46.2143,0.0,-1.0,317.2257196250015
89.4369,84.7061,85.1379,89.7558,178.195,-170.245,-173.952,156.87,0.0,-1.0,185.98466044999893
89.5782,84.7941,85.136,89.866,-84.5062,-119.335,-110.336,-29.8326,0.0,-1.0,133.29069933
88.3415,82.7077,82.8345,88.1148,112.117,99.3582,106.18,139.697,0.0,-1.0,95.02190944999984
88.1091,82.4325,82.6501,88.1512,58.8833,57.6298,64.2223,86.5513,0.0,-1.0,94.20730390000006
-84.1385,-89.725,-89.1631,-84.3212,-115.79,-132.451,-123.707,-87.1929,1.0,0.0145938264646309,92.31098233000021
-86.52,-89.6039,-89.5909,-86.8911,99.0707,-49.2143,-20.9834,110.728,0.0,-1.0,82.74202329500059
88.0207,82.3461,82.4245,88.0324,-144.072,-143.058,-137.342,-123.849,0.0,-1.0,72.8831024
89.5063,85.9578,86.2098,89.7097,10.5816,-100.11,-87.75,55.3996,0.0,-1.0,71.85353317999997
-81.9012,-87.4903,-87.8604,-82.2315,167.31,158.142,170.493,179.328,0.0,-1.0,71.49518579999997
87.8581,82.1948,82.3949,88.0825,141.613,141.883,150.437,158.467,0.0,-1.0,71.2773867999999
-82.8869,-88.724,-88.2335,-83.3425,-75.3131,-101.177,-80.2158,-70.0431,0.0,-1.0,70.03831484500019
89.6489,86.8262,87.0819,89.8883,126.505,-76.9563,-34.1945,168.784,0.0,-1.0,69.3687055749991
88.1234,82.4992,82.6328,88.3084,-162.719,-165.112,-154.944,-148.767,0.0,-1.0,67.45519350000004
87.7987,82.1827,82.4117,88.1193,-40.3773,-41.8698,-31.2718,-28.2221,0.0,-1.0,63.78793559999999
-81.4678,-87.1272,-87.3013,-81.607,-155.921,-163.851,-150.998,-146.932,0.0,-1.0,62.93646555000005
-81.283,-87.0493,-86.6745,-81.1873,-124.952,-128.936,-120.143,-110.925,0.0,-1.0,62.64833224999998
86.6338,81.1296,80.8514,86.1177,-23.6258,-40.6904,-34.5501,-9.8177,0.0,-1.0,62.01339982499991
-80.6945,-86.4556,-86.5115,-80.7912,-90.0157,-98.8171,-84.0457,-83.68,0.0,-1.0,60.934489349999915
-82.4889,-88.1346,-88.0583,-82.6128,-52.1414,-59.7763,-52.8617,-37.6477,0.0,-1.0,59.63283615
-81.1958,-86.7955,-87.1815,-81.5573,138.576,131.762,140.901,149.3,0.0,-1.0,58.57801080000003
-80.3635,-86.0649,-86.2219,-80.5041,-65.5479,-77.2561,-62.9836,-59.7474,0.0,-1.0,58.41626376000002
87.7754,82.433,82.7436,88.3603,-71.8591,-79.3395,-65.0503,-64.7109,0.0,-1.0,56.98299486000003
88.3212,82.3833,82.8607,87.7355,102.116,83.9783,96.8866,109.591,0.0,-1.0,55.93467683500012
-81.6781,-87.2729,-86.7621,-81.4681,-134.879,-141.921,-133.499,-121.589,0.0,-1.0,55.689256
-80.2102,-85.7461,-86.328,-80.7286,26.0227,18.2832,27.3426,34.401,0.0,-1.0,52.61403754500003
-80.9497,-86.6039,-86.7703,-81.0934,3.2597,-2.3734,7.5258,11.3089,0.0,-1.0,51.573769714999976
-80.3029,-85.9,-86.3146,-80.6738,148.94,142.598,151.472,157.322,0.0,-1.0,50.87450460000004
-79.6587,-85.2669,-85.5129,-79.8479,-23.2741,-36.421,-24.9062,-17.978,0.0,-1.0,49.56233035000004
-80.6108,-86.237,-86.5443,-80.9905,88.5951,80.8852,86.681,98.7696,0.0,-1.0,48.03738087500007
-80.9485,-86.5861,-86.7498,-81.1087,-38.7284,-42.5353,-35.0292,-30.1053,1.0,5713.366356083989,46.18607853999998
85.6787,80.0118,80.2623,85.9039,48.6683,49.7769,54.6033,60.2284,0.0,-1.0,45.789559050000044
85.7465,80.0575,80.2417,85.9187,130.74,132.161,137.09,141.521,0.0,-1.0,44.371773999999945
-78.851,-84.688,-84.5867,-79.1618,-104.376,-106.45,-100.583,-94.9089,0.0,-1.0,43.57858193499999
-77.653,-83.3755,-83.5765,-77.8546,19.8198,11.0948,20.4401,24.8519,0.0,-1.0,42.45739805999993
87.9446,82.5095,83.0205,88.6083,23.3499,25.8059,34.1044,29.718,1.0863481939036443,0.0007226066971571,42.42655810499997
87.7149,82.286,82.8537,88.4373,-2.7761,0.6828,8.432,3.6526,0.0,-1.0,41.69058864499995
86.1575,80.7047,81.0828,86.7003,-122.54,-125.858,-116.423,-116.775,0.0,-1.0,41.38429264999996
86.3231,80.9039,81.2536,86.858,-92.171,-96.7959,-87.1733,-86.355,0.0,-1.0,41.343474060000005
85.1339,79.4471,79.614,85.2636,123.368,123.287,127.852,133.385,0.0,-1.0,40.91056809999993
