V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Mg/Si,Mg/Si_uncer,polygon_area
89.8884,85.6708,86.196,89.8121,174.928,-148.16,-121.026,77.9266,0.0,-1.0,195.41606917999948
-82.8772,-88.2105,-88.6958,-82.9825,-119.82,-154.95,-125.094,-112.429,0.0,-1.0,109.92010930000005
-82.7875,-88.1984,-88.6054,-82.8781,-73.3203,-104.504,-74.8311,-66.1029,0.0,-1.0,107.68792522500016
-82.8822,-88.1662,-88.6938,-82.9992,-91.2785,-128.039,-99.5004,-83.825,0.0,-1.0,107.23576254999992
88.9929,83.3584,83.2703,88.5159,-90.007,-108.934,-102.404,-61.1547,0.0,-1.0,104.74214734000003
89.6666,85.7595,86.1204,89.8421,-5.6999,-112.309,-102.279,51.4243,0.9030063423770432,0.0286014472912146,93.16859739999995
-85.0626,-89.3142,-89.4402,-84.9158,1.5854,-80.4485,-69.2302,31.5651,0.0,-1.0,89.43770016000025
89.0702,83.9582,83.4162,88.8794,63.4355,26.1506,48.3577,70.1263,0.0,-1.0,87.21886921999993
88.2379,82.5346,82.5189,88.1731,-171.568,-174.263,-164.762,-151.349,0.0,-1.0,84.71039850000004
-81.7903,-87.2418,-87.9809,-82.4195,31.886,18.0839,32.379,44.9746,0.0,-1.0,84.42348066000005
88.4602,83.0854,83.1708,88.9013,-131.15,-144.587,-124.601,-121.892,0.0,-1.0,79.06563105000001
-86.3678,-89.6729,-89.6486,-86.1686,177.22,-167.917,-178.884,165.271,0.0,-1.0,77.38602840000021
88.3571,82.7397,82.7601,88.449,131.782,125.276,138.76,144.345,0.0,-1.0,73.28434420000002
86.1329,80.43,80.1974,85.771,-150.315,-159.3,-152.955,-135.476,0.0,-1.0,63.653556000000066
87.5801,81.8913,81.8877,87.5686,-14.3473,-17.1132,-8.2626,-1.0426,0.0,-1.0,63.01247537500005
-81.3251,-86.9332,-87.3421,-81.8072,108.751,99.2321,105.881,121.515,0.0,-1.0,59.68229464999993
-81.182,-86.9358,-86.876,-81.1608,134.884,131.485,141.843,145.35,0.0,-1.0,59.56776749999999
-80.9452,-86.6827,-86.6871,-80.9467,158.647,153.299,165.147,167.363,0.0,-1.0,59.01904079999996
-81.6284,-87.371,-87.1382,-81.552,121.705,120.131,127.506,134.557,0.0,-1.0,56.620196899999925
87.6531,82.1141,82.1799,87.8828,111.943,103.531,116.92,118.916,0.0,-1.0,56.45800094999994
-81.4133,-87.1676,-86.9248,-81.3292,71.0709,69.3972,76.8987,83.6565,0.0,-1.0,56.30757973499999
-81.6452,-87.3761,-87.08,-81.5465,80.9378,78.1806,85.6774,93.7781,0.0,-1.0,56.199632579999985
87.2556,81.5698,81.5589,87.2223,-40.4064,-42.1547,-34.9769,-28.0238,0.0,-1.0,55.59487339000004
-83.2755,-89.4255,-88.6551,-83.9111,19.1141,5.9862,18.9281,26.2751,0.0,-1.0,54.0602440200001
87.4712,81.9637,82.0436,87.736,102.161,93.2276,106.021,109.031,0.0,-1.0,54.02780592000001
-81.1227,-86.8668,-86.4648,-81.1349,-174.276,-179.764,-168.103,-166.376,0.0,-1.0,53.45152675000002
87.1577,81.4833,81.4872,87.1693,-25.3409,-28.1207,-19.7545,-15.2071,0.4821365961777424,0.0002004699987318,52.49541960000005
-80.2601,-85.8775,-86.0476,-80.3308,63.2464,53.1184,65.0139,68.2695,0.0,-1.0,48.74539175000006
86.9846,81.4836,81.5727,87.2428,75.5944,67.2204,78.1708,81.8371,0.0,-1.0,46.97106080500007
86.6047,81.0449,81.1184,86.8026,-80.2011,-86.6719,-76.5277,-74.239,0.0,-1.0,44.680477224999976
-87.1212,-89.6095,-89.9074,-86.7795,168.22,-95.2521,-131.914,177.573,0.0,-1.0,44.616963190000604
86.569,81.021,81.1044,86.7898,66.6353,59.6977,69.7572,72.62,0.0,-1.0,44.31240865000004
88.1414,82.4471,82.4528,87.3397,167.617,160.17,163.219,179.423,0.0,-1.0,44.00248050000016
86.5236,80.9842,81.4283,86.9622,-121.441,-119.235,-114.996,-109.663,0.8279897612314828,0.001662263788889,43.65021080000005
86.6087,81.0276,81.0929,86.7823,57.2546,51.1972,61.04,63.0478,0.0,-1.0,43.57469042999998
-78.9527,-84.7093,-84.6989,-78.9477,-26.9776,-29.3366,-21.6126,-20.143,0.0,-1.0,41.86962416000001
-78.748,-84.5053,-84.5032,-78.747,-33.7221,-36.2136,-28.4555,-27.1721,0.0,-1.0,41.181151790000015
86.2077,80.6643,81.1038,86.6372,-113.023,-111.456,-107.304,-102.119,1.0748975145332218,0.0017456390686508,40.9070647
-79.5141,-85.1622,-85.2756,-79.5658,54.8007,47.8518,57.5389,59.2482,0.0,-1.0,40.49221053999999
-78.6097,-84.3526,-84.3815,-78.624,-45.4962,-48.8034,-40.5124,-39.745,0.0,-1.0,40.41673490000002
-79.6609,-85.3797,-85.2464,-79.6,-110.757,-111.884,-106.557,-102.645,0.0,-1.0,37.93958725000002
-78.6907,-84.4266,-84.4202,-78.6876,-8.7192,-10.842,-3.8414,-2.5412,0.0,-1.0,37.77656389999993
-78.1708,-83.8941,-83.9526,-78.2009,-53.9491,-57.8074,-49.4252,-49.245,0.0,-1.0,37.63077590000002
-78.4583,-83.9207,-84.6318,-79.104,19.7876,12.7383,19.2062,25.271,0.0,-1.0,37.28509703500002
-78.1321,-83.8312,-83.9279,-78.1821,-64.9722,-69.9557,-61.4792,-60.5702,0.0,-1.0,37.06439359999997
-77.9748,-83.6599,-83.7765,-78.0359,-75.4459,-80.9088,-72.7152,-71.1274,1.5611744037000643,0.0010518532324605,36.05310258999999
86.6779,80.673,81.2428,86.1251,87.2539,73.9909,82.418,91.8374,0.0,-1.0,35.31585087999996
-77.4481,-82.9376,-83.6455,-78.1003,26.868,21.1356,27.0633,32.2158,0.0,-1.0,34.80657808500003
83.9772,78.2787,78.3294,84.0754,-125.96,-128.532,-121.403,-120.921,0.0,-1.0,34.70048384999994
-77.6207,-83.0998,-83.784,-78.2395,-148.874,-154.547,-148.645,-143.56,1.2958358022284366,2.730367332791936e-05,34.41459289999999
88.1793,82.4826,82.4728,88.1386,178.445,-179.117,-171.63,179.729,0.8933957819246906,0.0004369474445938,33.86524950000001
84.1275,78.7128,78.3035,84.6904,14.5469,6.5621,13.5879,18.9013,0.0,-1.0,33.06549119999998
84.0392,78.3453,78.2895,83.9304,-103.689,-105.775,-101.954,-96.2868,0.0,-1.0,32.12222601999998
-79.7492,-85.8974,-85.2014,-80.3816,3.9044,-2.2093,3.6953,9.5897,0.0,-1.0,31.58857701000003
-76.6394,-82.161,-82.8398,-77.275,36.8487,32.1057,37.0668,42.0621,0.0,-1.0,31.399649580000013
83.4423,77.7263,77.721,83.4326,-178.333,-179.032,-174.247,-172.248,0.0,-1.0,31.064620500000007
-76.2599,-82.0217,-82.0215,-76.2598,145.632,144.175,149.913,150.625,0.0,-1.0,30.914506949999982
87.8756,83.7906,84.4588,87.8787,49.4661,-13.3187,4.5684,58.4769,0.0,-1.0,30.882459355000385
-76.5807,-82.3494,-82.2582,-76.5278,66.5685,66.1591,70.8011,72.6877,0.0,-1.0,30.853315330000086
84.4694,78.9073,79.3427,84.8948,-92.1663,-91.5499,-87.8797,-84.5336,0.0,-1.0,30.81824135499998
-76.6594,-82.4156,-82.3767,-76.6371,131.687,131.202,136.101,137.373,0.0,-1.0,30.39387864999991
-76.7005,-82.4551,-82.3383,-76.6332,91.8217,91.0275,95.571,97.8601,0.0,-1.0,30.174440974999968
-76.0552,-81.8135,-81.82,-76.0591,155.242,153.69,159.397,159.995,0.0,-1.0,30.128298000000015
83.8843,78.1943,78.1914,83.8788,152.848,152.048,156.734,158.653,0.0,-1.0,29.84578574999994
-76.8526,-82.6006,-82.5122,-76.8023,117.678,117.22,121.672,123.668,0.0,-1.0,29.825755500000053
83.2618,77.553,77.5564,83.268,169.403,168.464,173.442,174.83,0.8487072261254371,0.0008638855045421,29.701730700000084
82.3445,76.6205,76.669,82.4282,-69.1682,-71.0427,-65.1277,-64.7195,0.0,-1.0,29.676666724999976
83.1548,77.4475,77.4035,83.0746,-58.9037,-59.996,-56.3243,-52.2374,0.0,-1.0,29.568288960000004
-76.5418,-82.1441,-82.6796,-77.0671,102.727,98.46,102.422,108.328,0.0,-1.0,29.509662700000007
83.3384,77.6349,77.636,83.3404,164.309,163.433,168.264,169.771,0.0,-1.0,29.35353185000001
83.3107,77.6162,77.5599,83.2072,-75.5384,-77.5098,-73.8893,-68.9181,0.4217856550393856,0.0004465325207814,29.31463322999997
88.3081,82.6156,82.6069,88.2701,179.211,-179.483,-172.727,179.842,0.0,-1.0,29.275134500000373
-82.0681,-87.5945,-86.9552,-81.5194,144.322,148.467,153.152,149.445,0.0,-1.0,29.211358399999874
83.7419,78.0548,78.0552,83.7428,146.071,145.17,149.912,151.524,0.0,-1.0,28.990449900000073
82.9785,77.2712,77.2426,82.9271,-52.0939,-52.3074,-48.7126,-45.6264,0.0,-1.0,28.722921285000012
83.5969,77.9103,77.918,83.6113,138.926,137.784,142.822,143.917,0.0,-1.0,28.519894850000053
-76.1322,-81.8671,-81.8763,-76.1378,-178.185,-179.747,-174.263,-173.733,0.0,-1.0,28.507666000000018
82.2112,76.6778,76.034,81.5323,-36.8264,-41.0789,-36.6008,-32.0393,0.0,-1.0,28.467296159999997
-76.1123,-81.6559,-82.3,-76.7246,45.7137,41.5243,45.6804,50.7044,0.0,-1.0,28.319746239999965
80.0433,74.3637,74.1364,79.833,-82.9742,-87.4528,-83.748,-77.1508,0.0,-1.0,28.310369729999994
83.0565,77.3739,77.4095,83.1209,119.364,117.45,123.15,123.458,0.0,-1.0,27.84265900000001
83.1706,77.4816,77.5028,83.2093,128.071,126.569,132.089,132.319,0.0,-1.0,27.80187429999996
82.9318,77.2539,77.2967,83.0083,114.493,112.408,118.049,118.569,0.0,-1.0,27.590248750000026
-79.1696,-85.324,-84.6294,-79.8074,13.0907,7.5256,12.7106,17.8809,0.0,-1.0,27.220503640000004
82.7478,77.0763,77.1274,82.8384,105.18,102.915,108.466,109.223,0.0,-1.0,27.193871899999937
82.7026,77.0018,76.9856,82.6739,-46.6021,-46.8335,-43.1048,-40.863,0.0,-1.0,26.98519191500001
85.6607,80.1783,80.7337,86.2644,21.1664,24.9173,28.873,26.3428,0.0,-1.0,26.963288380000016
-76.085,-81.5798,-82.2234,-76.6803,-158.452,-162.655,-158.42,-154.0,1.182079700312156,0.00018484681981,26.64231800000005
82.6059,76.9427,76.9965,82.7003,96.2677,93.9394,99.3107,100.195,0.0,-1.0,26.30526971999996
-75.3474,-80.9041,-81.5389,-75.9554,51.6554,47.8772,51.5553,56.3627,0.0,-1.0,26.02130419000001
81.9514,76.1979,76.1223,81.383,39.0386,31.6341,36.2893,42.9604,0.0,-1.0,25.88336995000006
82.4657,76.8091,76.8671,82.5662,82.9629,80.5557,85.7945,86.8186,1.0,0.7971863437312521,25.682638149999995
82.4354,76.7399,76.7404,82.4365,-19.5948,-20.3186,-16.0599,-14.8444,0.0,-1.0,25.656240170000004
83.0015,77.7414,77.4545,83.6758,-1.1148,-8.3017,-3.347,3.3138,0.0,-1.0,25.592205409999988
-78.5614,-84.7158,-84.0136,-79.1908,-138.068,-144.127,-139.022,-133.938,0.0,-1.0,25.140807900000063
81.9278,76.2464,76.2913,82.0038,109.081,107.234,112.302,112.862,0.0,-1.0,25.133403700000013
83.1214,77.0618,77.6156,82.7177,89.5769,89.9434,94.3097,94.1618,0.0,-1.0,24.99695512
78.6327,72.908,72.739,78.518,-131.901,-134.385,-131.019,-126.776,1.0960895096832648,3.796868595930218e-05,24.896591649999984
81.8539,76.1794,76.2306,81.9396,67.4002,65.4184,70.4078,71.1531,0.0,-1.0,24.78615801499996
-75.5688,-81.0627,-81.6948,-76.1567,-162.669,-166.562,-162.706,-158.545,0.0,-1.0,24.465310000000148
