V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Al/Si,Al/Si_uncer,polygon_area
-83.0951,-88.6477,-88.8782,-83.1366,-48.2214,-76.5785,-40.1669,-38.1096,0.6591206195697328,3.396808854302431e-05,133.4293252700001
-83.8976,-89.5511,-89.2959,-83.8734,-157.419,-171.337,-148.323,-135.184,1.0399655603721814,5.429107322162368e-05,123.4045495500001
-83.8967,-89.3382,-88.8051,-84.0439,98.1606,39.8805,80.2703,106.05,1.4066403927050324,0.0025314114269689,115.03487925499996
89.7932,86.9175,86.8498,89.8567,115.672,-44.3566,-28.1784,171.032,1.4487360957609476,1.8266192584055847e-05,105.58485477999969
88.9095,83.8443,83.9286,89.5984,-62.259,-83.1107,-57.218,-52.4676,1.400907327281025,0.0229593034152064,90.81831744499985
-85.8966,-89.3626,-89.369,-86.0911,43.6686,-85.916,-51.0763,54.4841,1.1321119933491135,7.74520275246374e-06,88.78368344499938
89.9617,86.2823,86.3651,89.5782,17.8468,-143.581,-123.89,34.5143,1.4276076852073938,0.0228972613769478,86.69361843000029
88.636,83.1213,83.1682,88.8953,-49.8163,-60.261,-41.0399,-38.3354,2.777412936146883,2.0615652037601685e-05,85.27986463999996
-83.2097,-88.9362,-88.4991,-83.1274,131.655,129.194,138.421,151.924,0.7368889606837619,0.0001282691589798,79.76520140000004
-83.4227,-89.1253,-88.7499,-83.3619,-140.791,-142.367,-133.797,-120.02,1.0,0.0011898611866795,79.67807899999984
87.899,82.2056,82.1263,87.6219,134.823,128.027,134.042,154.864,1.096680142719564,0.000140323961565,75.34590980000004
-83.8104,-88.8499,-89.0974,-83.6479,-76.7442,-93.2441,-83.9984,-57.9739,1.0,0.0015890723623503,74.36859949999987
87.6495,81.9289,81.91,87.5853,150.102,148.147,156.649,166.978,1.7644154684841191,0.0023362635390803,72.55648765000012
0.0,-65.1585,-65.1666,-59.4549,172.264,171.992,173.883,173.932,1.0,0.0010372946154379,67.82866619999993
87.8467,82.1368,82.1157,87.7705,163.416,161.576,169.809,178.942,0.8144390933833033,0.0050826861275785,67.77039505
87.9207,82.2807,82.3057,88.0151,-14.9416,-20.5657,-7.8298,-3.9616,1.283594237695197,0.000515772381419,67.00696371
-85.5961,-89.5062,-89.4998,-85.4251,75.0041,-51.5726,-37.3046,99.8135,1.2768919792237778,0.0004000652380046,66.31144149999864
87.6005,81.9636,81.8494,87.2406,122.36,110.178,115.95,138.962,1.7144496049807003,0.0002793984813434,65.8570461999999
87.3297,81.7001,81.5784,86.9691,96.894,84.8133,90.4245,112.125,1.4317870845071914,0.0034278160555057,61.494992355000015
87.5413,81.8687,81.8778,87.5713,6.4052,2.7681,12.7421,17.8952,1.149812217896897,0.0003547830890292,60.90456839500007
87.5726,81.8945,81.8698,87.4921,-39.8147,-40.5243,-34.5586,-24.3651,1.2177651139283685,5.644652675251228e-05,60.78711555999996
87.1547,81.4608,81.4543,87.1354,15.142,13.012,20.9399,27.2517,3.832931209510727,0.0103708843623775,57.03637461000001
86.875,81.1979,81.0979,86.6039,79.5356,71.987,77.4041,93.5808,1.169387475202985,0.000148305253753,56.613326490000055
-81.0929,-86.8153,-86.7981,-81.0867,17.2583,12.8424,23.5671,26.21,1.578343058194637,0.0007407233594177,56.20271160000004
87.6476,82.3503,82.4756,88.0893,-89.8643,-103.092,-89.2263,-82.4049,1.511978789306584,0.0023866610640564,55.32758159999999
