Point,X,Y,Na/Si,Na/Si_uncer,Al/Si,Al/Si_uncer,Mg/Si,Mg/Si_uncer,Ca/Si,Ca/Si_uncer,Polygon ID
V0,-5074824.9574,-2545893.9198,,,0.0,-1.0,,,,,4
V1,-5380757.2399,-2714594.8476,,,0.0,-1.0,,,,,4
V2,-4791119.6908,-2711653.4826,,,0.0,-1.0,,,,,4
V3,-4444917.999,-2545636.1714,,,0.0,-1.0,,,,,4
V0,-1745296.8219,2697070.9834,,,0.0,-1.0,,,,,6
V1,-2270712.547,2538316.1146,,,0.0,-1.0,,,,,6
V2,-1507385.8791,2540402.3611,,,0.0,-1.0,,,,,6
V3,-1452148.8639,2713697.2764,,,0.0,-1.0,,,,,6
V0,-4328688.5968,-2530034.8076,,,0.0,-1.0,,,,,9
V1,-4360528.1148,-2703035.5864,,,0.0,-1.0,,,,,9
V2,-4099989.8879,-2692158.6006,,,0.0,-1.0,,,,,9
V3,-3691685.9744,-2528312.4413,,,0.0,-1.0,,,,,9
V0,3978423.576,-2520322.2384,,,0.0,-1.0,,,,,10
V1,3894215.6319,-2693844.5789,,,0.0,-1.0,,,,,10
V2,4168641.9533,-2680857.0879,,,0.0,-1.0,,,,,10
V3,4568152.0952,-2517729.592,,,0.0,-1.0,,,,,10
V0,4349914.9421,2649915.1411,,,1.0,0.0029164450271647,,,,,12
V1,4315103.7358,2476277.5719,,,1.0,0.0029164450271647,,,,,12
V2,4537737.7747,2475434.5828,,,1.0,0.0029164450271647,,,,,12
V3,4848491.4699,2647273.9773,,,1.0,0.0029164450271647,,,,,12
V0,-2276055.5214,-2528491.349,,,0.0,-1.0,,,,,14
V1,-2633798.2804,-2694945.3165,,,0.0,-1.0,,,,,14
V2,-2348319.0978,-2672351.3881,,,0.0,-1.0,,,,,14
V3,-1721690.0935,-2523390.9615,,,0.0,-1.0,,,,,14
V0,3043312.0956,2652783.7301,,,0.0,-1.0,,,,,15
V1,2642540.5023,2482333.145,,,0.0,-1.0,,,,,15
V2,2816272.0739,2478539.6939,,,0.0,-1.0,,,,,15
V3,3523876.5531,2641172.9192,,,0.0,-1.0,,,,,15
V0,-3004000.9041,2662835.9208,,,0.0,-1.0,,,,,16
V1,-3350881.839,2492424.756,,,0.0,-1.0,,,,,16
V2,-3191411.3391,2489735.0748,,,0.0,-1.0,,,,,16
V3,-2505994.4553,2653723.754,,,0.0,-1.0,,,,,16
V0,-2849333.6229,-2526156.451,,,0.0,-1.0,,,,,18
V1,-3157752.4201,-2693929.4843,,,0.0,-1.0,,,,,18
V2,-2902041.6706,-2675620.2453,,,0.0,-1.0,,,,,18
V3,-2325145.9934,-2522126.4778,,,0.0,-1.0,,,,,18
V0,4098898.2473,2671186.9715,,,0.0,-1.0,,,,,19
V1,3902766.8167,2501455.0498,,,0.0,-1.0,,,,,19
V2,4294089.654,2502258.6186,,,0.0,-1.0,,,,,19
V3,4359951.9711,2674431.57,,,0.0,-1.0,,,,,19
V0,-1148408.9597,2650861.2297,,,0.0,-1.0,,,,,20
V1,-1175806.1068,2478703.44,,,0.0,-1.0,,,,,20
V2,-991406.7805,2478060.5849,,,0.0,-1.0,,,,,20
V3,-719721.6901,2648841.6945,,,0.0,-1.0,,,,,20
V0,326964.5583,-2463029.3001,,,0.0,-1.0,,,,,21
V1,187216.3655,-2636318.1508,,,0.0,-1.0,,,,,21
V2,516582.5332,-2635836.0095,,,0.0,-1.0,,,,,21
V3,598652.6811,-2462856.457,,,0.0,-1.0,,,,,21
V0,2507483.3318,-2460864.2129,,,0.0,-1.0,,,,,22
V1,2400666.2976,-2633646.6636,,,0.0,-1.0,,,,,22
V2,2606592.1704,-2624467.7855,,,0.0,-1.0,,,,,22
V3,2843951.2282,-2457428.5773,,,0.0,-1.0,,,,,22
V0,697885.8454,-2445502.4036,,,0.0,-1.0,,,,,23
V1,515960.9045,-2617541.9322,,,0.0,-1.0,,,,,23
V2,852704.7434,-2619064.1644,,,0.0,-1.0,,,,,23
V3,878591.7876,-2446096.7412,,,0.0,-1.0,,,,,23
V0,89717.6969,-2432208.6467,,,0.0,-1.0,,,,,24
V1,-56886.6054,-2605154.8436,,,0.0,-1.0,,,,,24
V2,251507.9331,-2606167.6435,,,0.0,-1.0,,,,,24
V3,285724.8017,-2432630.1413,,,0.0,-1.0,,,,,24
V0,-263567.5296,-2445135.491,,,0.0,-1.0,,,,,25
V1,-317567.352,-2618606.2818,,,0.0,-1.0,,,,,25
V2,-85672.562,-2616935.4652,,,0.0,-1.0,,,,,25
V3,5567.3671,-2444477.4743,,,0.0,-1.0,,,,,25
V0,1113406.7163,2600472.9183,,,0.0,-1.0,,,,,26
V1,1103127.1005,2426956.6425,,,0.0,-1.0,,,,,26
V2,1251471.9631,2425737.6438,,,0.0,-1.0,,,,,26
V3,1457928.4945,2597631.6203,,,0.0,-1.0,,,,,26
V0,-535792.3757,-2445126.394,,,0.0,-1.0,,,,,28
V1,-598300.9303,-2618251.4986,,,0.0,-1.0,,,,,28
V2,-365432.7607,-2616944.5622,,,0.0,-1.0,,,,,28
V3,-280957.971,-2444607.8647,,,0.0,-1.0,,,,,28
V0,3854249.456,-2429415.8662,,,0.0,-1.0,,,,,30
V1,3631585.0939,-2600770.0871,,,0.0,-1.0,,,,,30
V2,3970387.8882,-2603896.4245,,,0.0,-1.0,,,,,30
V3,3998527.9574,-2430740.9966,,,0.0,-1.0,,,,,30
V0,-800412.1255,-2448540.8033,,,0.0,-1.0,,,,,31
V1,-867584.4114,-2621350.545,,,0.0,-1.0,,,,,31
V2,-634770.8238,-2620192.1931,,,0.0,-1.0,,,,,31
V3,-550850.9515,-2448092.0177,,,0.0,-1.0,,,,,31
V0,2111132.8831,-2431972.1246,,,0.0,-1.0,,,,,32
V1,2054519.1878,-2605997.8327,,,0.0,-1.0,,,,,32
V2,2247042.1397,-2599529.8621,,,0.0,-1.0,,,,,32
V3,2405545.3247,-2429200.5704,,,0.0,-1.0,,,,,32
V0,573757.2104,2607344.1895,,,0.0,-1.0,,,,,33
V1,534400.5339,2434349.4753,,,0.0,-1.0,,,,,33
V2,728648.8844,2434082.6298,,,0.0,-1.0,,,,,33
V3,858432.8242,2606707.3991,,,0.0,-1.0,,,,,33
V0,940869.8847,2634844.436,,,1.0,0.0042259561348789,,,,,34
V1,787548.9603,2464657.664,,,1.0,0.0042259561348789,,,,,34
V2,1095973.8222,2465900.9214,,,1.0,0.0042259561348789,,,,,34
V3,1114850.1078,2638340.7183,,,1.0,0.0042259561348789,,,,,34
V0,1685323.2994,2638368.0093,,,0.0,-1.0,,,,,35
V1,1419654.3616,2472344.6334,,,0.0,-1.0,,,,,35
