start_time,V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Na/Si,Al/Si,Mg/Si,Ca/Si,Na/Si_uncer,Al/Si_uncer,Mg/Si_uncer,Ca/Si_uncer
20211101T000001,-76.5418,-82.1441,-82.6796,-77.0671,102.727,98.46,102.422,108.328,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
20211101T000137,-81.3251,-86.9332,-87.3421,-81.8072,108.751,99.2321,105.881,121.515,0.0,1.0,0.0,0.8060683682553337,-1.0,0.012093532749316788,-1.0,0.004598786201446284
20211101T000313,-86.0767,-89.7104,-89.6412,-86.3874,172.711,-160.872,-136.487,150.317,1.1214112094829747,0.0,1.1214112094829747,0.7087019409940427,0.00014635090859698113,-1.0,8.66072110578412e-05,8.346266164581677e-05
20211101T000449,-83.4149,-88.7024,-88.2363,-82.7807,-96.7792,-123.644,-90.8537,-90.72,2.7236684043626136,0.0,2.7236684043626136,0.8711419166209128,0.003996273856667572,-1.0,0.011166626085464159,0.00047339897415922414
20211101T000625,-78.0023,-84.1449,-83.4401,-78.6251,-87.4775,-94.5927,-89.5142,-83.8926,0.8317990110654703,0.0,0.8317990110654703,0.5588093946149549,0.0018827100688580194,-1.0,0.000810723337099997,0.0008604178705732894
20211101T000801,-73.2026,-78.6908,-79.3532,-73.8013,-86.0839,-90.7655,-87.1413,-83.4972,1.3555901613797017,0.0,1.3555901613797017,0.50530378086931,0.0005109427540947726,-1.0,0.0002577598094971069,4.70639826700827e-05
20211101T000937,-68.3921,-73.9125,-74.538,-68.9692,-85.3101,-88.3016,-85.6827,-83.2743,2.8220057633120215,1.494428473572996,1.494428473572996,0.4159299429435604,0.0005405606916691347,0.00014530644048684328,0.0004142033612834338,1.7059182183473457e-05
20211101T001113,-63.5737,-69.1146,-69.7113,-64.1285,-84.8194,-86.9629,-84.9027,-83.1283,0.0,1.117221150597342,1.3062724080651535,0.38784046606685785,-1.0,0.0004405750183744007,9.376995338503065e-05,2.4129487159882054e-05
20211101T001249,-58.7486,-64.3057,-64.8756,-59.2794,-84.4805,-86.1217,-84.4115,-83.0221,0.0,1.021942289001541,1.1386494580861046,0.0,-1.0,0.00014146338309247523,4.1437892305170755e-05,-1.0
20211101T001425,-53.9174,-59.4892,-60.0319,-54.4219,-84.2328,-85.5421,-84.0682,-82.9395,0.0,1.2875780290552767,1.1020233724270552,0.36989641845464427,-1.0,6.546204722139286e-05,6.298764208000867e-05,0.00019593819156271645
20211101T001601,-49.0803,-54.6666,-55.1805,-49.5559,-84.0442,-85.1171,-83.8108,-82.872,0.0,1.1464184388885705,1.1183714657493222,0.8247631918350932,-1.0,0.00037103688147553703,0.00025087062558202606,0.005775285966495571
20211101T001737,-44.2379,-49.8383,-50.3214,-44.6815,-83.896,-84.7907,-83.6074,-82.8145,0.0,1.1172264781795578,1.0800128803352476,0.0,-1.0,0.00022134615490902932,0.0001337013718833622,-1.0
20211101T001913,-39.3904,-45.0051,-45.4546,-39.7988,-83.7765,-84.5306,-83.4395,-82.764,0.0,1.225060276283405,1.1683780267396964,0.21214263794440041,-1.0,4.036171094371062e-05,2.0774967937161725e-05,0.0012241082031796532
20211101T002049,-34.538,-40.167,-40.58,-34.9078,-83.6784,-84.3166,-83.2958,-82.7189,1.2275508872144065,1.2595981078826364,1.2097532618698856,0.22086044803603977,0.0008248019601288086,7.632110620434533e-05,5.6770865534245384e-05,0.00024464154237899646
20211101T002225,-29.6809,-35.324,-35.6974,-30.009,-83.5967,-84.1364,-83.1696,-82.6781,3.903917213270557,1.2691696955513974,0.9225809083234016,0.43606711184765945,0.0003122886228961249,0.0001483398047591612,0.00019274500600978826,0.0012279081543859576
20211101T002401,-24.8205,-30.4758,-30.8066,-25.1032,-83.5267,-83.9811,-83.0563,-82.6393,1.1005259457700385,1.2331881570058507,1.3178342041858386,0.264808435186272,0.0032218463309380023,0.0007536789429353636,0.0007291961921437036,0.00221534793559562
20211101T002537,-19.9563,-25.6237,-25.9083,-20.1908,-83.466,-83.8432,-82.9507,-82.6027,0.0,1.3232055645119412,1.0790057454463355,0.25885962835582493,-1.0,0.00039713546357932387,0.0002362841465330113,0.001736654704492896
20211101T002713,-15.0888,-20.7663,-21.0021,-15.2722,-83.4126,-83.719,-82.8516,-82.5676,0.0,1.3354920491648874,1.481320870210292,0.0,-1.0,0.00027946606654479964,0.0009371146254180449,-1.0
20211101T002849,-10.218,-15.9038,-16.088,-10.3484,-83.3643,-83.605,-82.7568,-82.5331,1.6008177469264875,1.4405750080204418,1.3270057386182208,0.3145216894436591,0.00442497723704356,0.00019357292259030662,0.00039095030480081164,0.0001059228782254435
20211101T003025,-5.3445,-11.0357,-11.1664,-5.4205,-83.3196,-83.4983,-82.6649,-82.4984,0.0,1.4533091930418385,1.2306675980231576,0.0,-1.0,7.7189743163261e-05,0.00020467493573253476,-1.0
20211101T003201,-0.4683,-6.162,-6.2381,-0.4895,-83.277,-83.3966,-82.5743,-82.4628,0.0,1.3949940239084093,1.2500911261939507,0.0,-1.0,0.0002345414428645824,0.0003830231462123802,-1.0
20211101T003337,4.4108,-1.2825,-1.3037,4.4438,-83.2356,-83.2983,-82.4839,-82.4253,0.0,1.2873908351746166,1.081629706290696,0.2933470319021562,-1.0,0.0006226930178608853,0.00011928997341298898,0.0020680037267087003
